조회연도,sidoNm,dbyhsNm,inqireValue,inqireCnClCode,sidoCode
2024,전라남도,이화명나방2화기(발생면적률),0.0,SF0092,46
2024,전라남도,바이러스병(발생추정면적),0.0,SF0201,46
2024,전라남도,바이러스병(감수율),0.0,SF0202,46
2024,전라남도,바이러스병(피해율),0.0,SF0203,46
2024,전라남도,바이러스병(발생면적율),0.0,SF0204,46
2024,전라남도,키다리병(발생추정면적),0.0,SF0205,46
2024,전라남도,키다리병(감수율),0.0,SF0206,46
2024,전라남도,키다리병(피해율),0.0,SF0207,46
2024,전라남도,키다리병(발생면적율),0.0,SF0208,46
2024,전라남도,이화명나방(발생추정면적),0.0,SF0209,46
2024,전라남도,이화명나방(감수율),0.0,SF0210,46
2024,전라남도,이화명나방(피해율),0.0,SF0211,46
2024,전라남도,이화명나방(발생면적율),0.0,SF0212,46
2024,전라남도,벼애나방(발생추정면적),0.0,SF0213,46
2024,전라남도,벼애나방(감수율),0.0,SF0214,46
2024,전라남도,벼애나방(피해율),0.0,SF0215,46
2024,전라남도,벼애나방(발생면적율),0.0,SF0216,46
2024,전라남도,벼잎선충(발생추정면적),0.0,SF0217,46
2024,전라남도,벼잎선충(감수율),0.0,SF0218,46
2024,전라남도,벼잎선충(피해율),0.0,SF0219,46
2024,전라남도,벼잎선충(발생면적율),0.0,SF0220,46
2025,전라남도,잎도열병(발생추정면적),3.985,SF0001,46
2025,전라남도,잎도열병(감수율),0.0,SF0002,46
2025,전라남도,잎도열병(피해율),0.0,SF0003,46
2025,전라남도,잎도열병(발생면적율),0.082,SF0004,46
2025,전라남도,이삭도열병(발생추정면적),12.958,SF0005,46
2025,전라남도,이삭도열병(감수율),0.001,SF0006,46
2025,전라남도,이삭도열병(피해율),0.002,SF0007,46
2025,전라남도,이삭도열병(발생면적율),0.067,SF0008,46
2025,전라남도,잎집무늬마름병(발생추정면적),134.602,SF0009,46
2025,전라남도,잎집무늬마름병(감수율),0.028,SF0010,46
2025,전라남도,잎집무늬마름병(피해율),0.142,SF0011,46
2025,전라남도,잎집무늬마름병(발생면적율),0.917,SF0012,46
2025,전라남도,흰잎마름병(발생추정면적),3.858,SF0013,46
2025,전라남도,흰잎마름병(감수율),0.001,SF0014,46
2025,전라남도,흰잎마름병(피해율),0.004,SF0015,46
2025,전라남도,흰잎마름병(발생면적율),0.069,SF0016,46
2025,전라남도,세균벼알마름병(발생추정면적),0.179,SF0017,46
2025,전라남도,세균벼알마름병(감수율),0.0,SF0018,46
2025,전라남도,세균벼알마름병(피해율),0.0,SF0019,46
2025,전라남도,세균벼알마름병(발생면적율),0.002,SF0020,46
2025,전라남도,줄무늬잎마름병(발생면적),0.0,SF0021,46
2025,전라남도,줄무늬잎마름병(감수율),0.0,SF0022,46
2025,전라남도,줄무늬잎마름병(피해율),0.0,SF0023,46
2025,전라남도,줄무늬잎마름병(발생면적률),0.0,SF0024,46
2025,전라남도,벼검은줄오갈병(발생면적),0.0,SF0025,46
2025,전라남도,벼검은줄오갈병(감수율),0.0,SF0026,46
2025,전라남도,벼검은줄오갈병(피해율),0.0,SF0027,46
2025,전라남도,벼검은줄오갈병(발생면적률),0.0,SF0028,46
2025,전라남도,오갈병(발생면적),0.0,SF0029,46
2025,전라남도,오갈병(감수율),0.0,SF0030,46
2025,전라남도,오갈병(피해율),0.0,SF0031,46
2025,전라남도,오갈병(발생면적률),0.0,SF0032,46
2025,전라남도,이삭누룩병(발생추정면적),0.0,SF0033,46
2025,전라남도,이삭누룩병(감수율),0.0,SF0034,46
2025,전라남도,이삭누룩병(피해율),0.0,SF0035,46
2025,전라남도,이삭누룩병(발생면적율),0.0,SF0036,46
2025,전라남도,깨씨무늬병(발생추정면적),5.329,SF0037,46
2025,전라남도,깨씨무늬병(감수율),0.001,SF0038,46
2025,전라남도,깨씨무늬병(피해율),0.005,SF0039,46
2025,전라남도,깨씨무늬병(발생면적율),0.1,SF0040,46
2025,전라남도,벼잎벌레(발생추정면적),0.0,SF0041,46
2025,전라남도,벼잎벌레(감수율),0.0,SF0042,46
2025,전라남도,벼잎벌레(피해율),0.0,SF0043,46
2025,전라남도,벼잎벌레(발생면적율),0.0,SF0044,46
2025,전라남도,벼애잎굴파리(발생추정면적),0.0,SF0045,46
2025,전라남도,벼애잎굴파리(감수율),0.0,SF0046,46
2025,전라남도,벼애잎굴파리(피해율),0.0,SF0047,46
2025,전라남도,벼애잎굴파리(발생면적율),0.0,SF0048,46
2025,전라남도,벼줄기굴파리(발생추정면적),0.161,SF0049,46
2025,전라남도,벼줄기굴파리(감수율),0.0,SF0050,46
2025,전라남도,벼줄기굴파리(피해율),0.0,SF0051,46
2025,전라남도,벼줄기굴파리(발생면적율),0.001,SF0052,46
2025,전라남도,애멸구(발생추정면적),0.066,SF0053,46
2025,전라남도,애멸구(감수율),0.0,SF0054,46
2025,전라남도,애멸구(피해율),0.0,SF0055,46
2025,전라남도,애멸구(발생면적율),0.001,SF0056,46
2025,전라남도,끝동매미충(발생추정면적),0.225,SF0057,46
2025,전라남도,끝동매미충(감수율),0.0,SF0058,46
2025,전라남도,끝동매미충(피해율),0.0,SF0059,46
2025,전라남도,끝동매미충(발생면적율),0.002,SF0060,46
2025,전라남도,벼멸구(발생추정면적),14.286,SF0061,46
2025,전라남도,벼멸구(감수율),0.003,SF0062,46
2025,전라남도,벼멸구(피해율),0.007,SF0063,46
2025,전라남도,벼멸구(발생면적율),0.075,SF0064,46
2025,전라남도,흰등멸구(발생추정면적),2.972,SF0065,46
2025,전라남도,흰등멸구(감수율),0.003,SF0066,46
2025,전라남도,흰등멸구(피해율),0.007,SF0067,46
2025,전라남도,흰등멸구(발생면적율),0.065,SF0068,46
2025,전라남도,벼물바구미(발생추정면적),0.057,SF0069,46
2025,전라남도,벼물바구미(감수율),0.0,SF0070,46
2025,전라남도,벼물바구미(피해율),0.0,SF0071,46
2025,전라남도,벼물바구미(발생면적율),0.001,SF0072,46
2025,전라남도,혹명나방(발생추정면적),45.308,SF0073,46
2025,전라남도,혹명나방(감수율),0.003,SF0074,46
2025,전라남도,혹명나방(피해율),0.016,SF0075,46
2025,전라남도,혹명나방(발생면적율),0.323,SF0076,46
2025,전라남도,멸강나방(발생추정면적),0.0,SF0077,46
2025,전라남도,멸강나방(감수율),0.0,SF0078,46
2025,전라남도,멸강나방(피해율),0.0,SF0079,46
2025,전라남도,멸강나방(발생면적율),0.0,SF0080,46
2025,전라남도,먹노린재(발생추정면적),4.596,SF0081,46
2025,전라남도,먹노린재(감수율),0.001,SF0082,46
2025,전라남도,먹노린재(피해율),0.004,SF0083,46
2025,전라남도,먹노린재(발생면적율),0.09,SF0084,46
2025,전라남도,이화명나방1화기(발생면적),0.07,SF0085,46
2025,전라남도,이화명나방1화기(감수율),0.0,SF0086,46
2025,전라남도,이화명나방1화기(피해율),0.0,SF0087,46
2025,전라남도,이화명나방1화기(발생면적률),0.001,SF0088,46
2025,전라남도,이화명나방2화기(발생면적),0.085,SF0089,46
2025,전라남도,이화명나방2화기(감수율),0.0,SF0090,46
2025,전라남도,이화명나방2화기(피해율),0.0,SF0091,46
2025,전라남도,이화명나방2화기(발생면적률),0.002,SF0092,46
2025,전라남도,바이러스병(발생추정면적),0.0,SF0201,46
2025,전라남도,바이러스병(감수율),0.0,SF0202,46
2025,전라남도,바이러스병(피해율),0.0,SF0203,46
2025,전라남도,바이러스병(발생면적율),0.0,SF0204,46
2025,전라남도,키다리병(발생추정면적),0.0,SF0205,46
2025,전라남도,키다리병(감수율),0.0,SF0206,46
2025,전라남도,키다리병(피해율),0.0,SF0207,46
2025,전라남도,키다리병(발생면적율),0.0,SF0208,46
2025,전라남도,이화명나방(발생추정면적),0.0,SF0209,46
2025,전라남도,이화명나방(감수율),0.0,SF0210,46
2025,전라남도,이화명나방(피해율),0.0,SF0211,46
2025,전라남도,이화명나방(발생면적율),0.0,SF0212,46
2025,전라남도,벼애나방(발생추정면적),0.0,SF0213,46
2025,전라남도,벼애나방(감수율),0.0,SF0214,46
2025,전라남도,벼애나방(피해율),0.0,SF0215,46
2025,전라남도,벼애나방(발생면적율),0.0,SF0216,46
2025,전라남도,벼잎선충(발생추정면적),0.0,SF0217,46
2025,전라남도,벼잎선충(감수율),0.0,SF0218,46
2025,전라남도,벼잎선충(피해율),0.0,SF0219,46
2025,전라남도,벼잎선충(발생면적율),0.0,SF0220,46
2025,전라남도,잎도열병(발생추정면적),0.34,SF0001,46
2025,전라남도,잎도열병(감수율),0.0,SF0002,46
2025,전라남도,잎도열병(피해율),0.0,SF0003,46
2025,전라남도,잎도열병(발생면적율),0.005,SF0004,46
2025,전라남도,이삭도열병(발생추정면적),0.298,SF0005,46
2025,전라남도,이삭도열병(감수율),0.0,SF0006,46
2025,전라남도,이삭도열병(피해율),0.0,SF0007,46
2025,전라남도,이삭도열병(발생면적율),0.006,SF0008,46
2025,전라남도,잎집무늬마름병(발생추정면적),145.904,SF0009,46
2025,전라남도,잎집무늬마름병(감수율),0.036,SF0010,46
2025,전라남도,잎집무늬마름병(피해율),0.179,SF0011,46
2025,전라남도,잎집무늬마름병(발생면적율),1.102,SF0012,46
2025,전라남도,흰잎마름병(발생추정면적),6.205,SF0013,46
2025,전라남도,흰잎마름병(감수율),0.002,SF0014,46
2025,전라남도,흰잎마름병(피해율),0.009,SF0015,46
2025,전라남도,흰잎마름병(발생면적율),0.109,SF0016,46
2025,전라남도,세균벼알마름병(발생추정면적),2.107,SF0017,46
2025,전라남도,세균벼알마름병(감수율),0.001,SF0018,46
2025,전라남도,세균벼알마름병(피해율),0.002,SF0019,46
2025,전라남도,세균벼알마름병(발생면적율),0.043,SF0020,46
2025,전라남도,줄무늬잎마름병(발생면적),0.0,SF0021,46
2025,전라남도,줄무늬잎마름병(감수율),0.0,SF0022,46
2025,전라남도,줄무늬잎마름병(피해율),0.0,SF0023,46
2025,전라남도,줄무늬잎마름병(발생면적률),0.0,SF0024,46
2025,전라남도,벼검은줄오갈병(발생면적),0.0,SF0025,46
2025,전라남도,벼검은줄오갈병(감수율),0.0,SF0026,46
2025,전라남도,벼검은줄오갈병(피해율),0.0,SF0027,46
2025,전라남도,벼검은줄오갈병(발생면적률),0.0,SF0028,46
2025,전라남도,오갈병(발생면적),0.0,SF0029,46
2025,전라남도,오갈병(감수율),0.0,SF0030,46
2025,전라남도,오갈병(피해율),0.0,SF0031,46
2025,전라남도,오갈병(발생면적률),0.0,SF0032,46
2025,전라남도,이삭누룩병(발생추정면적),0.033,SF0033,46
2025,전라남도,이삭누룩병(감수율),0.0,SF0034,46
2025,전라남도,이삭누룩병(피해율),0.0,SF0035,46
2025,전라남도,이삭누룩병(발생면적율),0.0,SF0036,46
2025,전라남도,깨씨무늬병(발생추정면적),103.505,SF0037,46
2025,전라남도,깨씨무늬병(감수율),0.065,SF0038,46
2025,전라남도,깨씨무늬병(피해율),0.324,SF0039,46
2025,전라남도,깨씨무늬병(발생면적율),1.51,SF0040,46
2025,전라남도,벼잎벌레(발생추정면적),0.0,SF0041,46
2025,전라남도,벼잎벌레(감수율),0.0,SF0042,46
2025,전라남도,벼잎벌레(피해율),0.0,SF0043,46
2025,전라남도,벼잎벌레(발생면적율),0.0,SF0044,46
2025,전라남도,벼애잎굴파리(발생추정면적),0.0,SF0045,46
2025,전라남도,벼애잎굴파리(감수율),0.0,SF0046,46
2025,전라남도,벼애잎굴파리(피해율),0.0,SF0047,46
2025,전라남도,벼애잎굴파리(발생면적율),0.0,SF0048,46
2025,전라남도,벼줄기굴파리(발생추정면적),0.0,SF0049,46
2025,전라남도,벼줄기굴파리(감수율),0.0,SF0050,46
2025,전라남도,벼줄기굴파리(피해율),0.0,SF0051,46
2025,전라남도,벼줄기굴파리(발생면적율),0.0,SF0052,46
2025,전라남도,애멸구(발생추정면적),0.0,SF0053,46
2025,전라남도,애멸구(감수율),0.0,SF0054,46
2025,전라남도,애멸구(피해율),0.0,SF0055,46
2025,전라남도,애멸구(발생면적율),0.0,SF0056,46
2025,전라남도,끝동매미충(발생추정면적),0.74,SF0057,46
2025,전라남도,끝동매미충(감수율),0.0,SF0058,46
2025,전라남도,끝동매미충(피해율),0.002,SF0059,46
2025,전라남도,끝동매미충(발생면적율),0.019,SF0060,46
2025,전라남도,벼멸구(발생추정면적),39.62,SF0061,46
2025,전라남도,벼멸구(감수율),0.031,SF0062,46
2025,전라남도,벼멸구(피해율),0.077,SF0063,46
2025,전라남도,벼멸구(발생면적율),0.205,SF0064,46
2025,전라남도,흰등멸구(발생추정면적),2.602,SF0065,46
2025,전라남도,흰등멸구(감수율),0.001,SF0066,46
2025,전라남도,흰등멸구(피해율),0.003,SF0067,46
2025,전라남도,흰등멸구(발생면적율),0.032,SF0068,46
2025,전라남도,벼물바구미(발생추정면적),0.0,SF0069,46
2025,전라남도,벼물바구미(감수율),0.0,SF0070,46
2025,전라남도,벼물바구미(피해율),0.0,SF0071,46
2025,전라남도,벼물바구미(발생면적율),0.0,SF0072,46
2025,전라남도,혹명나방(발생추정면적),38.301,SF0073,46
2025,전라남도,혹명나방(감수율),0.004,SF0074,46
2025,전라남도,혹명나방(피해율),0.02,SF0075,46
2025,전라남도,혹명나방(발생면적율),0.252,SF0076,46
2025,전라남도,멸강나방(발생추정면적),0.0,SF0077,46
2025,전라남도,멸강나방(감수율),0.0,SF0078,46
2025,전라남도,멸강나방(피해율),0.0,SF0079,46
2025,전라남도,멸강나방(발생면적율),0.0,SF0080,46
2025,전라남도,먹노린재(발생추정면적),1.1,SF0081,46
2025,전라남도,먹노린재(감수율),0.0,SF0082,46
2025,전라남도,먹노린재(피해율),0.001,SF0083,46
2025,전라남도,먹노린재(발생면적율),0.019,SF0084,46
2025,전라남도,이화명나방1화기(발생면적),0.0,SF0085,46
2025,전라남도,이화명나방1화기(감수율),0.0,SF0086,46
2025,전라남도,이화명나방1화기(피해율),0.0,SF0087,46
2025,전라남도,이화명나방1화기(발생면적률),0.0,SF0088,46
2025,전라남도,이화명나방2화기(발생면적),0.249,SF0089,46
2025,전라남도,이화명나방2화기(감수율),0.0,SF0090,46
2025,전라남도,이화명나방2화기(피해율),0.0,SF0091,46
2025,전라남도,이화명나방2화기(발생면적률),0.006,SF0092,46
2025,전라남도,바이러스병(발생추정면적),0.0,SF0201,46
2025,전라남도,바이러스병(감수율),0.0,SF0202,46
2025,전라남도,바이러스병(피해율),0.0,SF0203,46
2025,전라남도,바이러스병(발생면적율),0.0,SF0204,46
2025,전라남도,키다리병(발생추정면적),0.0,SF0205,46
2025,전라남도,키다리병(감수율),0.0,SF0206,46
2025,전라남도,키다리병(피해율),0.0,SF0207,46
2025,전라남도,키다리병(발생면적율),0.0,SF0208,46
2025,전라남도,이화명나방(발생추정면적),0.0,SF0209,46
2025,전라남도,이화명나방(감수율),0.0,SF0210,46
2025,전라남도,이화명나방(피해율),0.0,SF0211,46
2025,전라남도,이화명나방(발생면적율),0.0,SF0212,46
2025,전라남도,벼애나방(발생추정면적),0.0,SF0213,46
2025,전라남도,벼애나방(감수율),0.0,SF0214,46
2025,전라남도,벼애나방(피해율),0.0,SF0215,46
2025,전라남도,벼애나방(발생면적율),0.0,SF0216,46
2025,전라남도,벼잎선충(발생추정면적),0.0,SF0217,46
2025,전라남도,벼잎선충(감수율),0.0,SF0218,46
2025,전라남도,벼잎선충(피해율),0.0,SF0219,46
2025,전라남도,벼잎선충(발생면적율),0.0,SF0220,46
2025,전라남도,잎도열병(발생추정면적),2.023,SF0001,46
2025,전라남도,잎도열병(감수율),0.0,SF0002,46
2025,전라남도,잎도열병(피해율),0.0,SF0003,46
2025,전라남도,잎도열병(발생면적율),0.043,SF0004,46
2025,전라남도,이삭도열병(발생추정면적),10.692,SF0005,46
2025,전라남도,이삭도열병(감수율),0.001,SF0006,46
2025,전라남도,이삭도열병(피해율),0.001,SF0007,46
2025,전라남도,이삭도열병(발생면적율),0.059,SF0008,46
2025,전라남도,잎집무늬마름병(발생추정면적),77.96,SF0009,46
2025,전라남도,잎집무늬마름병(감수율),0.017,SF0010,46
2025,전라남도,잎집무늬마름병(피해율),0.085,SF0011,46
2025,전라남도,잎집무늬마름병(발생면적율),0.747,SF0012,46
2025,전라남도,흰잎마름병(발생추정면적),5.587,SF0013,46
2025,전라남도,흰잎마름병(감수율),0.001,SF0014,46
2025,전라남도,흰잎마름병(피해율),0.006,SF0015,46
2025,전라남도,흰잎마름병(발생면적율),0.098,SF0016,46
2025,전라남도,세균벼알마름병(발생추정면적),1.925,SF0017,46
2025,전라남도,세균벼알마름병(감수율),0.001,SF0018,46
2025,전라남도,세균벼알마름병(피해율),0.001,SF0019,46
2025,전라남도,세균벼알마름병(발생면적율),0.041,SF0020,46
2025,전라남도,줄무늬잎마름병(발생면적),0.0,SF0021,46
2025,전라남도,줄무늬잎마름병(감수율),0.0,SF0022,46
2025,전라남도,줄무늬잎마름병(피해율),0.0,SF0023,46
2025,전라남도,줄무늬잎마름병(발생면적률),0.0,SF0024,46
2025,전라남도,벼검은줄오갈병(발생면적),0.0,SF0025,46
2025,전라남도,벼검은줄오갈병(감수율),0.0,SF0026,46
2025,전라남도,벼검은줄오갈병(피해율),0.0,SF0027,46
2025,전라남도,벼검은줄오갈병(발생면적률),0.0,SF0028,46
2025,전라남도,오갈병(발생면적),0.0,SF0029,46
2025,전라남도,오갈병(감수율),0.0,SF0030,46
2025,전라남도,오갈병(피해율),0.0,SF0031,46
2025,전라남도,오갈병(발생면적률),0.0,SF0032,46
2025,전라남도,이삭누룩병(발생추정면적),0.0,SF0033,46
2025,전라남도,이삭누룩병(감수율),0.0,SF0034,46
2025,전라남도,이삭누룩병(피해율),0.0,SF0035,46
2025,전라남도,이삭누룩병(발생면적율),0.0,SF0036,46
2025,전라남도,깨씨무늬병(발생추정면적),26.621,SF0037,46
2025,전라남도,깨씨무늬병(감수율),0.006,SF0038,46
2025,전라남도,깨씨무늬병(피해율),0.03,SF0039,46
2025,전라남도,깨씨무늬병(발생면적율),0.447,SF0040,46
2025,전라남도,벼잎벌레(발생추정면적),0.0,SF0041,46
2025,전라남도,벼잎벌레(감수율),0.0,SF0042,46
2025,전라남도,벼잎벌레(피해율),0.0,SF0043,46
2025,전라남도,벼잎벌레(발생면적율),0.0,SF0044,46
2025,전라남도,벼애잎굴파리(발생추정면적),0.0,SF0045,46
2025,전라남도,벼애잎굴파리(감수율),0.0,SF0046,46
2025,전라남도,벼애잎굴파리(피해율),0.0,SF0047,46
2025,전라남도,벼애잎굴파리(발생면적율),0.0,SF0048,46
2025,전라남도,벼줄기굴파리(발생추정면적),0.0,SF0049,46
2025,전라남도,벼줄기굴파리(감수율),0.0,SF0050,46
2025,전라남도,벼줄기굴파리(피해율),0.0,SF0051,46
2025,전라남도,벼줄기굴파리(발생면적율),0.0,SF0052,46
2025,전라남도,애멸구(발생추정면적),0.05,SF0053,46
2025,전라남도,애멸구(감수율),0.0,SF0054,46
2025,전라남도,애멸구(피해율),0.0,SF0055,46
2025,전라남도,애멸구(발생면적율),0.001,SF0056,46
2025,전라남도,끝동매미충(발생추정면적),0.21,SF0057,46
2025,전라남도,끝동매미충(감수율),0.0,SF0058,46
2025,전라남도,끝동매미충(피해율),0.001,SF0059,46
2025,전라남도,끝동매미충(발생면적율),0.012,SF0060,46
2025,전라남도,벼멸구(발생추정면적),21.862,SF0061,46
2025,전라남도,벼멸구(감수율),0.005,SF0062,46
2025,전라남도,벼멸구(피해율),0.012,SF0063,46
2025,전라남도,벼멸구(발생면적율),0.119,SF0064,46
2025,전라남도,흰등멸구(발생추정면적),4.882,SF0065,46
2025,전라남도,흰등멸구(감수율),0.004,SF0066,46
2025,전라남도,흰등멸구(피해율),0.01,SF0067,46
2025,전라남도,흰등멸구(발생면적율),0.102,SF0068,46
2025,전라남도,벼물바구미(발생추정면적),0.107,SF0069,46
2025,전라남도,벼물바구미(감수율),0.0,SF0070,46
2025,전라남도,벼물바구미(피해율),0.0,SF0071,46
2025,전라남도,벼물바구미(발생면적율),0.002,SF0072,46
2025,전라남도,혹명나방(발생추정면적),27.732,SF0073,46
2025,전라남도,혹명나방(감수율),0.002,SF0074,46
2025,전라남도,혹명나방(피해율),0.01,SF0075,46
2025,전라남도,혹명나방(발생면적율),0.2,SF0076,46
2025,전라남도,멸강나방(발생추정면적),0.0,SF0077,46
2025,전라남도,멸강나방(감수율),0.0,SF0078,46
2025,전라남도,멸강나방(피해율),0.0,SF0079,46
2025,전라남도,멸강나방(발생면적율),0.0,SF0080,46
2025,전라남도,먹노린재(발생추정면적),1.619,SF0081,46
2025,전라남도,먹노린재(감수율),0.0,SF0082,46
2025,전라남도,먹노린재(피해율),0.001,SF0083,46
2025,전라남도,먹노린재(발생면적율),0.024,SF0084,46
2025,전라남도,이화명나방1화기(발생면적),0.0,SF0085,46
2025,전라남도,이화명나방1화기(감수율),0.0,SF0086,46
2025,전라남도,이화명나방1화기(피해율),0.0,SF0087,46
2025,전라남도,이화명나방1화기(발생면적률),0.0,SF0088,46
2025,전라남도,이화명나방2화기(발생면적),0.673,SF0089,46
2025,전라남도,이화명나방2화기(감수율),0.0,SF0090,46
2025,전라남도,이화명나방2화기(피해율),0.0,SF0091,46
2025,전라남도,이화명나방2화기(발생면적률),0.016,SF0092,46
2025,전라남도,바이러스병(발생추정면적),0.0,SF0201,46
2025,전라남도,바이러스병(감수율),0.0,SF0202,46
2025,전라남도,바이러스병(피해율),0.0,SF0203,46
2025,전라남도,바이러스병(발생면적율),0.0,SF0204,46
2025,전라남도,키다리병(발생추정면적),0.0,SF0205,46
2025,전라남도,키다리병(감수율),0.0,SF0206,46
2025,전라남도,키다리병(피해율),0.0,SF0207,46
2025,전라남도,키다리병(발생면적율),0.0,SF0208,46
2025,전라남도,이화명나방(발생추정면적),0.0,SF0209,46
2025,전라남도,이화명나방(감수율),0.0,SF0210,46
2025,전라남도,이화명나방(피해율),0.0,SF0211,46
2025,전라남도,이화명나방(발생면적율),0.0,SF0212,46
2025,전라남도,벼애나방(발생추정면적),0.0,SF0213,46
2025,전라남도,벼애나방(감수율),0.0,SF0214,46
2025,전라남도,벼애나방(피해율),0.0,SF0215,46
2025,전라남도,벼애나방(발생면적율),0.0,SF0216,46
2025,전라남도,벼잎선충(발생추정면적),0.0,SF0217,46
2025,전라남도,벼잎선충(감수율),0.0,SF0218,46
2025,전라남도,벼잎선충(피해율),0.0,SF0219,46
2025,전라남도,벼잎선충(발생면적율),0.0,SF0220,46
2025,전라남도,잎도열병(발생추정면적),0.0,SF0001,46
2025,전라남도,잎도열병(감수율),0.0,SF0002,46
2025,전라남도,잎도열병(피해율),0.0,SF0003,46
2025,전라남도,잎도열병(발생면적율),0.0,SF0004,46
2025,전라남도,이삭도열병(발생추정면적),0.0,SF0005,46
2025,전라남도,이삭도열병(감수율),0.0,SF0006,46
2025,전라남도,이삭도열병(피해율),0.0,SF0007,46
2025,전라남도,이삭도열병(발생면적율),0.0,SF0008,46
2025,전라남도,잎집무늬마름병(발생추정면적),0.0,SF0009,46
2025,전라남도,잎집무늬마름병(감수율),0.0,SF0010,46
2025,전라남도,잎집무늬마름병(피해율),0.0,SF0011,46
2025,전라남도,잎집무늬마름병(발생면적율),0.0,SF0012,46
2025,전라남도,흰잎마름병(발생추정면적),0.0,SF0013,46
2025,전라남도,흰잎마름병(감수율),0.0,SF0014,46
2025,전라남도,흰잎마름병(피해율),0.0,SF0015,46
2025,전라남도,흰잎마름병(발생면적율),0.0,SF0016,46
2025,전라남도,세균벼알마름병(발생추정면적),0.0,SF0017,46
2025,전라남도,세균벼알마름병(감수율),0.0,SF0018,46
2025,전라남도,세균벼알마름병(피해율),0.0,SF0019,46
2025,전라남도,세균벼알마름병(발생면적율),0.0,SF0020,46
2025,전라남도,줄무늬잎마름병(발생면적),0.0,SF0021,46
2025,전라남도,줄무늬잎마름병(감수율),0.0,SF0022,46
2025,전라남도,줄무늬잎마름병(피해율),0.0,SF0023,46
2025,전라남도,줄무늬잎마름병(발생면적률),0.0,SF0024,46
2025,전라남도,벼검은줄오갈병(발생면적),0.0,SF0025,46
2025,전라남도,벼검은줄오갈병(감수율),0.0,SF0026,46
2025,전라남도,벼검은줄오갈병(피해율),0.0,SF0027,46
2025,전라남도,벼검은줄오갈병(발생면적률),0.0,SF0028,46
2025,전라남도,오갈병(발생면적),0.0,SF0029,46
2025,전라남도,오갈병(감수율),0.0,SF0030,46
2025,전라남도,오갈병(피해율),0.0,SF0031,46
2025,전라남도,오갈병(발생면적률),0.0,SF0032,46
2025,전라남도,이삭누룩병(발생추정면적),0.0,SF0033,46
2025,전라남도,이삭누룩병(감수율),0.0,SF0034,46
2025,전라남도,이삭누룩병(피해율),0.0,SF0035,46
2025,전라남도,이삭누룩병(발생면적율),0.0,SF0036,46
2025,전라남도,깨씨무늬병(발생추정면적),0.0,SF0037,46
2025,전라남도,깨씨무늬병(감수율),0.0,SF0038,46
2025,전라남도,깨씨무늬병(피해율),0.0,SF0039,46
2025,전라남도,깨씨무늬병(발생면적율),0.0,SF0040,46
2025,전라남도,벼잎벌레(발생추정면적),0.0,SF0041,46
2025,전라남도,벼잎벌레(감수율),0.0,SF0042,46
2025,전라남도,벼잎벌레(피해율),0.0,SF0043,46
2025,전라남도,벼잎벌레(발생면적율),0.0,SF0044,46
2025,전라남도,벼애잎굴파리(발생추정면적),0.0,SF0045,46
2025,전라남도,벼애잎굴파리(감수율),0.0,SF0046,46
2025,전라남도,벼애잎굴파리(피해율),0.0,SF0047,46
2025,전라남도,벼애잎굴파리(발생면적율),0.0,SF0048,46
2025,전라남도,벼줄기굴파리(발생추정면적),0.0,SF0049,46
2025,전라남도,벼줄기굴파리(감수율),0.0,SF0050,46
2025,전라남도,벼줄기굴파리(피해율),0.0,SF0051,46
2025,전라남도,벼줄기굴파리(발생면적율),0.0,SF0052,46
2025,전라남도,애멸구(발생추정면적),0.0,SF0053,46
2025,전라남도,애멸구(감수율),0.0,SF0054,46
2025,전라남도,애멸구(피해율),0.0,SF0055,46
2025,전라남도,애멸구(발생면적율),0.0,SF0056,46
2025,전라남도,끝동매미충(발생추정면적),0.0,SF0057,46
2025,전라남도,끝동매미충(감수율),0.0,SF0058,46
2025,전라남도,끝동매미충(피해율),0.0,SF0059,46
2025,전라남도,끝동매미충(발생면적율),0.0,SF0060,46
2025,전라남도,벼멸구(발생추정면적),0.0,SF0061,46
2025,전라남도,벼멸구(감수율),0.0,SF0062,46
2025,전라남도,벼멸구(피해율),0.0,SF0063,46
2025,전라남도,벼멸구(발생면적율),0.0,SF0064,46
2025,전라남도,흰등멸구(발생추정면적),0.0,SF0065,46
2025,전라남도,흰등멸구(감수율),0.0,SF0066,46
2025,전라남도,흰등멸구(피해율),0.0,SF0067,46
2025,전라남도,흰등멸구(발생면적율),0.0,SF0068,46
2025,전라남도,벼물바구미(발생추정면적),0.0,SF0069,46
2025,전라남도,벼물바구미(감수율),0.0,SF0070,46
2025,전라남도,벼물바구미(피해율),0.0,SF0071,46
2025,전라남도,벼물바구미(발생면적율),0.0,SF0072,46
2025,전라남도,혹명나방(발생추정면적),0.0,SF0073,46
2025,전라남도,혹명나방(감수율),0.0,SF0074,46
2025,전라남도,혹명나방(피해율),0.0,SF0075,46
2025,전라남도,혹명나방(발생면적율),0.0,SF0076,46
2025,전라남도,멸강나방(발생추정면적),0.0,SF0077,46
2025,전라남도,멸강나방(감수율),0.0,SF0078,46
2025,전라남도,멸강나방(피해율),0.0,SF0079,46
2025,전라남도,멸강나방(발생면적율),0.0,SF0080,46
2025,전라남도,먹노린재(발생추정면적),0.0,SF0081,46
2025,전라남도,먹노린재(감수율),0.0,SF0082,46
2025,전라남도,먹노린재(피해율),0.0,SF0083,46
2025,전라남도,먹노린재(발생면적율),0.0,SF0084,46
